Investimento em Marketing  (mil R\$) , Faturamento  (mil R\$) 
2.0                                  , 22.0                  
 3.5                                 , 25.0                  
 4.0                                 , 28.0                  
 4.5                                 , 29.0                  
 5.0                                 , 31.0                  
 5.5                                 , 33.0                  
 6.0                                 , 35.0                  
 6.5                                 , 36.0                  
 7.0                                 , 38.0                  
 7.5                                 , 41.0                  
 8.0                                 , 42.0                  
 8.5                                 , 44.0                  
 9.0                                 , 46.0                  
 9.5                                 , 48.0                  
 10.0                                , 50.0                  
 10.5                                , 52.0                  
 11.0                                , 53.0                  
 11.5                                , 55.0                  
 12.0                                , 57.0                  
 12.5                                , 59.0                  
