 Treinamentos por Ano ,Produtividade (pontos) 
 0                    , 55                     
 1                    , 58                     
 2                    , 60                     
 3                    , 63                     
 4                    , 65                     
 5                    , 68                     
 6                    , 70                     
 7                    , 72                     
 8                    , 74                     
 9                    , 76                     
 10                   , 78                     
 11                   , 80                     
 12                   , 82                     
 13                   , 83                     
 14                   , 85                     
 15                   , 86                     
 16                   , 87                     
 17                   , 88                     
 18                   , 89                     
 19                   , 90                     
